time,q_50cm_m.d,psi01_conc_50cm_mol.L,psi01_flux_50cm_mol.m2.d,psi02_conc_50cm_mol.L,psi02_flux_50cm_mol.m2.d,psi03_conc_50cm_mol.L,psi03_flux_50cm_mol.m2.d,q_100cm_m.d,psi01_conc_100cm_mol.L,psi01_flux_100cm_mol.m2.d,psi02_conc_100cm_mol.L,psi02_flux_100cm_mol.m2.d,psi03_conc_100cm_mol.L,psi03_flux_100cm_mol.m2.d,q_200cm_m.d,psi01_conc_200cm_mol.L,psi01_flux_200cm_mol.m2.d,psi02_conc_200cm_mol.L,psi02_flux_200cm_mol.m2.d,psi03_conc_200cm_mol.L,psi03_flux_200cm_mol.m2.d,q_300cm_m.d,psi01_conc_300cm_mol.L,psi01_flux_300cm_mol.m2.d,psi02_conc_300cm_mol.L,psi02_flux_300cm_mol.m2.d,psi03_conc_300cm_mol.L,psi03_flux_300cm_mol.m2.d,psi01_cumulative_50cm_mol.m2,psi02_cumulative_50cm_mol.m2,psi03_cumulative_50cm_mol.m2,psi01_cumulative_100cm_mol.m2,psi02_cumulative_100cm_mol.m2,psi03_cumulative_100cm_mol.m2,psi01_cumulative_200cm_mol.m2,psi02_cumulative_200cm_mol.m2,psi03_cumulative_200cm_mol.m2,psi01_cumulative_300cm_mol.m2,psi02_cumulative_300cm_mol.m2,psi03_cumulative_300cm_mol.m2
1e-07,-2.183361432547328e-08,0.001,2.183361432547328e-08,0.1,2.1833614325473277e-06,1e-08,2.183361432547328e-13,-2.1989209890985867e-08,0.001,2.1989209890985867e-08,0.1,2.1989209890985866e-06,1e-08,2.1989209890985869e-13,-2.1863380323687907e-08,0.001,2.1863380323687907e-08,0.001,2.1863380323687907e-08,1e-08,2.186338032368791e-13,-2.1785860040699032e-08,0.001,2.1785860040699032e-08,0.001,2.1785860040699032e-08,1e-08,2.1785860040699035e-13,0.0,2.161527818221854e-13,-2.1833395989330023e-15,0.0,2.1769317792076005e-13,-2.1988989998886957e-15,0.0,0.0,-2.1863161689884672e-15,0.0,0.0,-2.1785642182098625e-15
3.16025e-07,-2.183361432547328e-08,0.001,2.183361432547328e-08,0.1,2.1833614325473277e-06,1e-08,2.183361432547328e-13,-2.1989209890985867e-08,0.001,2.1989209890985867e-08,0.1,2.1989209890985866e-06,1e-08,2.1989209890985869e-13,-2.1863380323687907e-08,0.001,2.1863380323687907e-08,0.001,2.1863380323687907e-08,1e-08,2.186338032368791e-13,-2.1785860040699032e-08,0.001,2.1785860040699032e-08,0.001,2.1785860040699032e-08,1e-08,2.1785860040699035e-13,0.0,6.830968287535616e-13,-6.899898967528021e-15,0.0,6.879648655240821e-13,-6.949070564398251e-15,0.0,0.0,-6.909305673045804e-15,0.0,0.0,-6.884807570597719e-15
7.82691e-07,-2.183361432547328e-08,0.001,2.183361432547328e-08,0.1,2.1833614325473277e-06,1e-08,2.183361432547328e-13,-2.1989209890985867e-08,0.001,2.1989209890985867e-08,0.1,2.1989209890985866e-06,1e-08,2.1989209890985869e-13,-2.1863380323687907e-08,0.001,2.1863380323687907e-08,0.001,2.1863380323687907e-08,1e-08,2.186338032368791e-13,-2.1785860040699032e-08,0.001,2.1785860040699032e-08,0.001,2.1785860040699032e-08,1e-08,2.1785860040699035e-13,0.0,1.6918083695718814e-12,-1.7088802540284707e-14,0.0,1.7038649111997763e-12,-1.7210584571218832e-14,0.0,0.0,-1.7112099886217524e-14,0.0,0.0,-1.7051426065148958e-14
1.79081e-06,-2.183361432547328e-08,0.001,2.183361432547328e-08,0.1,2.1833614325473277e-06,1e-08,2.183361432547328e-13,-2.1989209890985867e-08,0.001,2.1989209890985867e-08,0.1,2.1989209890985866e-06,1e-08,2.1989209890985869e-13,-2.1863380323687907e-08,0.001,2.1863380323687907e-08,0.001,2.1863380323687907e-08,1e-08,2.186338032368791e-13,-2.1785860040699032e-08,0.001,2.1785860040699032e-08,0.001,2.1785860040699032e-08,1e-08,2.1785860040699035e-13,0.0,3.8708856321498796e-12,-3.9099463871652104e-14,0.0,3.898471199522764e-12,-3.937810317990675e-14,0.0,0.0,-3.9152768585862365e-14,0.0,0.0,-3.901394587612405e-14
3.96858e-06,-2.183361432547328e-08,0.001,2.183361432547328e-08,0.1,2.1833614325473277e-06,1e-08,2.183361432547328e-13,-2.1989209890985867e-08,0.001,2.1989209890985867e-08,0.1,2.1989209890985866e-06,1e-08,2.1989209890985869e-13,-2.1863380323687907e-08,0.001,2.1863380323687907e-08,0.001,2.1863380323687907e-08,1e-08,2.186338032368791e-13,-2.1785860040699032e-08,0.001,2.1785860040699032e-08,0.001,2.1785860040699032e-08,1e-08,2.1785860040699035e-13,0.0,8.578196068838888e-12,-8.664757865533535e-14,0.0,8.6393279203277e-12,-8.72650659297828e-14,0.0,0.0,-8.676570621924252e-14,0.0,0.0,-8.645806385103298e-14
8.67312e-06,-2.183361432547328e-08,0.001,2.183361432547328e-08,0.1,2.1833614325473277e-06,1e-08,2.183361432547328e-13,-2.1989209890985867e-08,0.001,2.1989209890985867e-08,0.1,2.1989209890985866e-06,1e-08,2.1989209890985869e-13,-2.1863380323687907e-08,0.001,2.1863380323687907e-08,0.001,2.1863380323687907e-08,1e-08,2.186338032368791e-13,-2.1785860040699032e-08,0.001,2.1785860040699032e-08,0.001,2.1785860040699032e-08,1e-08,2.1785860040699035e-13,0.0,1.874719015077633e-11,-1.8936366342297802e-13,0.0,1.8880790552881028e-11,-1.9071314893914645e-13,0.0,0.0,-1.8962182491577255e-13,0.0,0.0,-1.8894948892240325e-13
1.74745e-05,-2.183361432547328e-08,0.001,2.183361432547328e-08,0.1,2.1833614325473277e-06,1e-08,2.183361432547328e-13,-2.1989209890985867e-08,0.001,2.1989209890985867e-08,0.1,2.1989209890985866e-06,1e-08,2.1989209890985869e-13,-2.185239370040966e-08,0.001,2.185239370040966e-08,0.001,2.185239370040966e-08,1e-08,2.1852393700409663e-13,-2.1785860040699032e-08,0.001,2.1785860040699032e-08,0.001,2.1785860040699032e-08,1e-08,2.1785860040699035e-13,0.0,3.7771617859517796e-11,-3.815276782155475e-13,0.0,3.804079437576322e-11,-3.8424660573555017e-13,0.0,0.0,-3.8195112247047547e-13,0.0,0.0,-3.806932043110825e-13
3.39404e-05,-2.1834446082209513e-08,0.001,2.1834446082209513e-08,0.1,2.1834446082209513e-06,1e-08,2.1834446082209513e-13,-2.1989209890985867e-08,0.001,2.1989209890985867e-08,0.1,2.1989209890985866e-06,1e-08,2.1989209890985869e-13,-2.1841407077131417e-08,0.001,2.1841407077131417e-08,0.001,2.1841407077131417e-08,1e-08,2.1841407077131418e-13,-2.1785860040699032e-08,0.001,2.1785860040699032e-08,0.001,2.1785860040699032e-08,1e-08,2.1785860040699035e-13,0.0,7.336447462827811e-11,-7.410478887225436e-13,0.0,7.388593535901764e-11,-7.463151161582228e-13,0.0,0.0,-7.415859508775657e-13,0.0,0.0,-7.394134099173002e-13
6.47452e-05,-2.183361432547328e-08,0.001,2.183361432547328e-08,0.1,2.1833614325473277e-06,1e-08,2.183361432547328e-13,-2.1983586052139216e-08,0.001,2.1983586052139216e-08,0.1,2.1983586052139216e-06,1e-08,2.198358605213922e-13,-2.183042045385317e-08,0.001,2.183042045385317e-08,0.001,2.183042045385317e-08,1e-08,2.183042045385317e-13,-2.1785860040699032e-08,0.001,2.1785860040699032e-08,0.001,2.1785860040699032e-08,1e-08,2.1785860040699035e-13,0.0,1.399499067630387e-10,-1.4136212854946572e-12,0.0,1.4092873254929253e-10,-1.423508315777445e-12,0.0,0.0,-1.414060962057062e-12,0.0,0.0,-1.4105157602084121e-12
0.000116292,-2.183444608220942e-08,0.001,2.183444608220942e-08,0.1,2.183444608220942e-06,1e-08,2.1834446082209423e-13,-2.1983586052139216e-08,0.001,2.1983586052139216e-08,0.1,2.1983586052139216e-06,1e-08,2.198358605213922e-13,-2.1819433830574922e-08,0.001,2.1819433830574922e-08,0.001,2.1819433830574922e-08,1e-08,2.1819433830574925e-13,-2.178280452035684e-08,0.001,2.178280452035684e-08,0.001,2.178280452035684e-08,1e-08,2.1782804520356843e-13,0.0,2.5137399346877153e-10,-2.5391058558468366e-12,0.0,2.5311390038702113e-10,-2.5566804974547195e-12,0.0,0.0,-2.5387717066150234e-12,0.0,0.0,-2.5333383999196614e-12
0.000202545,-2.1834446082209513e-08,0.001,2.1834446082209513e-08,0.1,2.1834446082209513e-06,1e-08,2.1834446082209513e-13,-2.1977962213292258e-08,0.001,2.1977962213292258e-08,0.1,2.1977962213292257e-06,1e-08,2.1977962213292259e-13,-2.1797460584018428e-08,0.001,2.1797460584018428e-08,0.001,2.1797460584018428e-08,1e-08,2.179746058401843e-13,-2.1785860040699244e-08,0.001,2.1785860040699244e-08,0.001,2.1785860040699244e-08,1e-08,2.1785860040699247e-13,0.0,4.378193547837244e-10,-4.422373500910874e-12,0.0,4.407847526905477e-10,-4.452326715586069e-12,0.0,0.0,-4.418849273404687e-12,0.0,0.0,-4.412415395052232e-12
0.000346875,-2.1835472458616e-08,0.001,2.1835472458616e-08,0.1,2.1835472458616e-06,1e-08,2.1835472458616e-13,-2.197796221329257e-08,0.001,2.197796221329257e-08,0.1,2.197796221329257e-06,1e-08,2.1977962213292572e-13,-2.1797460584018428e-08,0.001,2.1797460584018428e-08,0.001,2.1797460584018428e-08,1e-08,2.179746058401843e-13,-2.1785860040699244e-08,0.001,2.1785860040699244e-08,0.001,2.1785860040699244e-08,1e-08,2.1785860040699247e-13,0.0,7.498192150389771e-10,-7.573855725725523e-12,0.0,7.548206020287549e-10,-7.624374281037723e-12,0.0,0.0,-7.564845299221206e-12,0.0,0.0,-7.556737131194559e-12
