time,q_50cm_m.d,psi01_conc_50cm_mol.L,psi01_flux_50cm_mol.m2.d,psi02_conc_50cm_mol.L,psi02_flux_50cm_mol.m2.d,psi03_conc_50cm_mol.L,psi03_flux_50cm_mol.m2.d,q_100cm_m.d,psi01_conc_100cm_mol.L,psi01_flux_100cm_mol.m2.d,psi02_conc_100cm_mol.L,psi02_flux_100cm_mol.m2.d,psi03_conc_100cm_mol.L,psi03_flux_100cm_mol.m2.d,q_200cm_m.d,psi01_conc_200cm_mol.L,psi01_flux_200cm_mol.m2.d,psi02_conc_200cm_mol.L,psi02_flux_200cm_mol.m2.d,psi03_conc_200cm_mol.L,psi03_flux_200cm_mol.m2.d,q_300cm_m.d,psi01_conc_300cm_mol.L,psi01_flux_300cm_mol.m2.d,psi02_conc_300cm_mol.L,psi02_flux_300cm_mol.m2.d,psi03_conc_300cm_mol.L,psi03_flux_300cm_mol.m2.d,psi01_cumulative_50cm_mol.m2,psi02_cumulative_50cm_mol.m2,psi03_cumulative_50cm_mol.m2,psi01_cumulative_100cm_mol.m2,psi02_cumulative_100cm_mol.m2,psi03_cumulative_100cm_mol.m2,psi01_cumulative_200cm_mol.m2,psi02_cumulative_200cm_mol.m2,psi03_cumulative_200cm_mol.m2,psi01_cumulative_300cm_mol.m2,psi02_cumulative_300cm_mol.m2,psi03_cumulative_300cm_mol.m2
1e-07,-2.1529672787955436e-08,0.001,2.1529672787955436e-08,0.1,2.1529672787955436e-06,1e-08,2.1529672787955438e-13,-2.000078360507559e-08,0.001,2.000078360507559e-08,0.1,2.000078360507559e-06,1e-08,2.000078360507559e-13,-1.9716676488588585e-08,0.001,1.9716676488588585e-08,0.001,1.9716676488588585e-08,1e-08,1.9716676488588586e-13,-1.9709645545908895e-08,0.001,1.9709645545908895e-08,0.001,1.9709645545908895e-08,1e-08,1.9709645545908895e-13,0.0,2.131437606007588e-13,-2.1529457491227555e-15,0.0,1.9800775769024832e-13,-2.000058359723954e-15,0.0,0.0,-1.97164793218237e-15,0.0,0.0,-1.9709448449453433e-15
3.16025e-07,-2.1529672787955436e-08,0.001,2.1529672787955436e-08,0.1,2.1529672787955436e-06,1e-08,2.1529672787955438e-13,-2.000078360507559e-08,0.001,2.000078360507559e-08,0.1,2.000078360507559e-06,1e-08,2.000078360507559e-13,-1.9716676488588585e-08,0.001,1.9716676488588585e-08,0.001,1.9716676488588585e-08,1e-08,1.9716676488588586e-13,-1.9709645545908895e-08,0.001,1.9709645545908895e-08,0.001,1.9709645545908895e-08,1e-08,1.9709645545908895e-13,0.0,6.735875694385481e-13,-6.803846803665189e-15,0.0,6.257540162406074e-13,-6.320684431317626e-15,0.0,0.0,-6.230900377679335e-15,0.0,0.0,-6.228678446238522e-15
7.82691e-07,-2.1529672787955436e-08,0.001,2.1529672787955436e-08,0.1,2.1529672787955436e-06,1e-08,2.1529672787955438e-13,-2.000078360507559e-08,0.001,2.000078360507559e-08,0.1,2.000078360507559e-06,1e-08,2.000078360507559e-13,-1.9716676488588585e-08,0.001,1.9716676488588585e-08,0.001,1.9716676488588585e-08,1e-08,1.9716676488588586e-13,-1.9709645545908895e-08,0.001,1.9709645545908895e-08,0.001,1.9709645545908895e-08,1e-08,1.9709645545908895e-13,0.0,1.668257031283685e-12,-1.6850912613266386e-14,0.0,1.5497888987433818e-12,-1.5654276776307012e-14,0.0,0.0,-1.5431910916877512e-14,0.0,0.0,-1.542640791635116e-14
1.79081e-06,-2.1529672787955436e-08,0.001,2.1529672787955436e-08,0.1,2.1529672787955436e-06,1e-08,2.1529672787955438e-13,-2.000078360507559e-08,0.001,2.000078360507559e-08,0.1,2.000078360507559e-06,1e-08,2.000078360507559e-13,-1.9716676488588585e-08,0.001,1.9716676488588585e-08,0.001,1.9716676488588585e-08,1e-08,1.9716676488588586e-13,-1.9709645545908895e-08,0.001,1.9709645545908895e-08,0.001,1.9709645545908895e-08,1e-08,1.9709645545908895e-13,0.0,3.816999779214448e-12,-3.855516776986522e-14,0.0,3.545942725492737e-12,-3.581724511177254e-14,0.0,0.0,-3.53084683343151e-14,0.0,0.0,-3.5295877377765705e-14
3.96858e-06,-2.1529672787955436e-08,0.001,2.1529672787955436e-08,0.1,2.1529672787955436e-06,1e-08,2.1529672787955438e-13,-2.000078360507559e-08,0.001,2.000078360507559e-08,0.1,2.000078360507559e-06,1e-08,2.000078360507559e-13,-1.9716676488588585e-08,0.001,1.9716676488588585e-08,0.001,1.9716676488588585e-08,1e-08,1.9716676488588586e-13,-1.9709645545908895e-08,0.001,1.9709645545908895e-08,0.001,1.9709645545908895e-08,1e-08,1.9709645545908895e-13,0.0,8.458780654449593e-12,-8.544137441053585e-14,0.0,7.858096270143658e-12,-7.937391605233289e-14,0.0,0.0,-7.82464255070031e-14,0.0,0.0,-7.821852292753192e-14
8.04283e-06,-2.1529672787955436e-08,0.001,2.1529672787955436e-08,0.1,2.1529672787955436e-06,1e-08,2.1529672787955438e-13,-2.000078360507559e-08,0.001,2.000078360507559e-08,0.1,2.000078360507559e-06,1e-08,2.000078360507559e-13,-1.9716676488588585e-08,0.001,1.9716676488588585e-08,0.001,1.9716676488588585e-08,1e-08,1.9716676488588586e-13,-1.9709645545908895e-08,0.001,1.9709645545908895e-08,0.001,1.9709645545908895e-08,1e-08,1.9709645545908895e-13,0.0,1.714279032072601e-11,-1.7315776659416973e-13,0.0,1.5925427337838602e-11,-1.608612937733861e-13,0.0,0.0,-1.585762913839433e-13,0.0,0.0,-1.585197432727176e-13
1.56651e-05,-2.1529672787955436e-08,0.001,2.1529672787955436e-08,0.1,2.1529672787955436e-06,1e-08,2.1529672787955438e-13,-2.000078360507559e-08,0.001,2.000078360507559e-08,0.1,2.000078360507559e-06,1e-08,2.000078360507559e-13,-1.9716676488588585e-08,0.001,1.9716676488588585e-08,0.001,1.9716676488588585e-08,1e-08,1.9716676488588586e-13,-1.9709645545908895e-08,0.001,1.9709645545908895e-08,0.001,1.9709645545908895e-08,1e-08,1.9709645545908895e-13,0.0,3.3389183241869466e-11,-3.3726110454582876e-13,0.0,3.1018113249935093e-11,-3.1331114210911707e-13,0.0,0.0,-3.088606202243004e-13,0.0,0.0,-3.0875048090553304e-13
2.99249e-05,-2.1529672787955436e-08,0.001,2.1529672787955436e-08,0.1,2.1529672787955436e-06,1e-08,2.1529672787955438e-13,-2.000078360507559e-08,0.001,2.000078360507559e-08,0.1,2.000078360507559e-06,1e-08,2.000078360507559e-13,-1.9716676488588585e-08,0.001,1.9716676488588585e-08,0.001,1.9716676488588585e-08,1e-08,1.9716676488588586e-13,-1.9709645545908895e-08,0.001,1.9709645545908895e-08,0.001,1.9709645545908895e-08,1e-08,1.9709645545908895e-13,0.0,6.378305721601647e-11,-6.442668624792355e-13,0.0,5.925362348104913e-11,-5.985154640890334e-13,0.0,0.0,-5.90013672057642e-13,0.0,0.0,-5.898032739050491e-13
5.66027e-05,-2.1529672787955436e-08,0.001,2.1529672787955436e-08,0.1,2.1529672787955436e-06,1e-08,2.1529672787955438e-13,-2.000078360507559e-08,0.001,2.000078360507559e-08,0.1,2.000078360507559e-06,1e-08,2.000078360507559e-13,-1.9716676488588585e-08,0.001,1.9716676488588585e-08,0.001,1.9716676488588585e-08,1e-08,1.9716676488588586e-13,-1.9709645545908895e-08,0.001,1.9709645545908895e-08,0.001,1.9709645545908895e-08,1e-08,1.9709645545908895e-13,0.0,1.206451233815657e-10,-1.218625423538706e-12,0.0,1.120777370621382e-10,-1.1320870331794702e-12,0.0,0.0,-1.1160059641093902e-12,0.0,0.0,-1.115607997749878e-12
0.000101243,-2.1529672787955436e-08,0.001,2.1529672787955436e-08,0.1,2.1529672787955436e-06,1e-08,2.1529672787955438e-13,-2.000078360507559e-08,0.001,2.000078360507559e-08,0.1,2.000078360507559e-06,1e-08,2.000078360507559e-13,-1.9716676488588585e-08,0.001,1.9716676488588585e-08,0.001,1.9716676488588585e-08,1e-08,1.9716676488588586e-13,-1.9709645545908895e-08,0.001,1.9709645545908895e-08,0.001,1.9709645545908895e-08,1e-08,1.9709645545908895e-13,0.0,2.1579313754502624e-10,-2.1797068647843518e-12,0.0,2.0046899411833815e-10,-2.0249190851353226e-12,0.0,0.0,-1.9961555159793968e-12,0.0,0.0,-1.9954436893680145e-12
0.000175941,-2.1529672787955436e-08,0.001,2.1529672787955436e-08,0.1,2.1529672787955436e-06,1e-08,2.1529672787955438e-13,-2.000078360507559e-08,0.001,2.000078360507559e-08,0.1,2.000078360507559e-06,1e-08,2.000078360507559e-13,-1.9716676488588585e-08,0.001,1.9716676488588585e-08,0.001,1.9716676488588585e-08,1e-08,1.9716676488588586e-13,-1.9709645545908895e-08,0.001,1.9709645545908895e-08,0.001,1.9709645545908895e-08,1e-08,1.9709645545908895e-13,0.0,3.75007263838581e-10,-3.787914280464067e-12,0.0,3.483768289577998e-10,-3.518922678681921e-12,0.0,0.0,-3.468937088360983e-12,0.0,0.0,-3.4677000696452866e-12
0.000300934,-2.1529672787955436e-08,0.001,2.1529672787955436e-08,0.1,2.1529672787955436e-06,1e-08,2.1529672787955438e-13,-2.000078360507559e-08,0.001,2.000078360507559e-08,0.1,2.000078360507559e-06,1e-08,2.000078360507559e-13,-1.9716676488588585e-08,0.001,1.9716676488588585e-08,0.001,1.9716676488588585e-08,1e-08,1.9716676488588586e-13,-1.9709645545908895e-08,0.001,1.9709645545908895e-08,0.001,1.9709645545908895e-08,1e-08,1.9709645545908895e-13,0.0,6.414220445262875e-10,-6.478945760665073e-12,0.0,5.95872665527572e-10,-6.018855624251683e-12,0.0,0.0,-5.933358988233693e-12,0.0,0.0,-5.931243159687819e-12
