time,q_50cm_m.d,psi01_conc_50cm_mol.L,psi01_flux_50cm_mol.m2.d,psi02_conc_50cm_mol.L,psi02_flux_50cm_mol.m2.d,psi03_conc_50cm_mol.L,psi03_flux_50cm_mol.m2.d,q_100cm_m.d,psi01_conc_100cm_mol.L,psi01_flux_100cm_mol.m2.d,psi02_conc_100cm_mol.L,psi02_flux_100cm_mol.m2.d,psi03_conc_100cm_mol.L,psi03_flux_100cm_mol.m2.d,q_200cm_m.d,psi01_conc_200cm_mol.L,psi01_flux_200cm_mol.m2.d,psi02_conc_200cm_mol.L,psi02_flux_200cm_mol.m2.d,psi03_conc_200cm_mol.L,psi03_flux_200cm_mol.m2.d,q_300cm_m.d,psi01_conc_300cm_mol.L,psi01_flux_300cm_mol.m2.d,psi02_conc_300cm_mol.L,psi02_flux_300cm_mol.m2.d,psi03_conc_300cm_mol.L,psi03_flux_300cm_mol.m2.d,psi01_cumulative_50cm_mol.m2,psi02_cumulative_50cm_mol.m2,psi03_cumulative_50cm_mol.m2,psi01_cumulative_100cm_mol.m2,psi02_cumulative_100cm_mol.m2,psi03_cumulative_100cm_mol.m2,psi01_cumulative_200cm_mol.m2,psi02_cumulative_200cm_mol.m2,psi03_cumulative_200cm_mol.m2,psi01_cumulative_300cm_mol.m2,psi02_cumulative_300cm_mol.m2,psi03_cumulative_300cm_mol.m2
1e-07,-2.1141072865501283e-08,0.001,2.1141072865501283e-08,0.1,2.114107286550128e-06,1e-08,2.1141072865501284e-13,-1.930846211966572e-08,0.001,1.930846211966572e-08,0.1,1.930846211966572e-06,1e-08,1.930846211966572e-13,-1.9104325231601133e-08,0.001,1.9104325231601133e-08,0.001,1.9104325231601133e-08,1e-08,1.9104325231601135e-13,-1.9072961700325655e-08,0.001,1.9072961700325655e-08,0.001,1.9072961700325655e-08,1e-08,1.9072961700325657e-13,0.0,2.092966213684627e-13,-2.1140861454772627e-15,0.0,1.911537749846906e-13,-1.9308269035044523e-15,0.0,0.0,-1.9104134188348816e-15,0.0,0.0,-1.907277097070865e-15
3.16025e-07,-2.1141072865501283e-08,0.001,2.1141072865501283e-08,0.1,2.114107286550128e-06,1e-08,2.1141072865501284e-13,-1.930846211966572e-08,0.001,1.930846211966572e-08,0.1,1.930846211966572e-06,1e-08,1.930846211966572e-13,-1.9104325231601133e-08,0.001,1.9104325231601133e-08,0.001,1.9104325231601133e-08,1e-08,1.9104325231601135e-13,-1.9072961700325655e-08,0.001,1.9072961700325655e-08,0.001,1.9072961700325655e-08,1e-08,1.9072961700325657e-13,0.0,6.614296476796843e-13,-6.6810407412445204e-15,0.0,6.040937173953686e-13,-6.1018957217999455e-15,0.0,0.0,-6.037384006872936e-15,0.0,0.0,-6.027472446018202e-15
7.82691e-07,-2.1141072865501283e-08,0.001,2.1141072865501283e-08,0.1,2.114107286550128e-06,1e-08,2.1141072865501284e-13,-1.930846211966572e-08,0.001,1.930846211966572e-08,0.1,1.930846211966572e-06,1e-08,1.930846211966572e-13,-1.9104325231601133e-08,0.001,1.9104325231601133e-08,0.001,1.9104325231601133e-08,1e-08,1.9104325231601135e-13,-1.9072961700325655e-08,0.001,1.9072961700325655e-08,0.001,1.9072961700325655e-08,1e-08,1.9072961700325657e-13,0.0,1.6381458187550342e-12,-1.6546761992897442e-14,0.0,1.496143392965425e-12,-1.511240839930803e-14,0.0,0.0,-1.4952633892012926e-14,0.0,0.0,-1.4928086183834924e-14
1.79081e-06,-2.1141072865501283e-08,0.001,2.1141072865501283e-08,0.1,2.114107286550128e-06,1e-08,2.1141072865501284e-13,-1.930846211966572e-08,0.001,1.930846211966572e-08,0.1,1.930846211966572e-06,1e-08,1.930846211966572e-13,-1.9104325231601133e-08,0.001,1.9104325231601133e-08,0.001,1.9104325231601133e-08,1e-08,1.9104325231601135e-13,-1.9072961700325655e-08,0.001,1.9072961700325655e-08,0.001,1.9072961700325655e-08,1e-08,1.9072961700325657e-13,0.0,3.7481048251285665e-12,-3.7859266101821365e-14,0.0,3.423200917803338e-12,-3.457744127064808e-14,0.0,0.0,-3.4211874545836946e-14,0.0,0.0,-3.4155708982054764e-14
3.96858e-06,-2.1141072865501283e-08,0.001,2.1141072865501283e-08,0.1,2.114107286550128e-06,1e-08,2.1141072865501284e-13,-1.930846211966572e-08,0.001,1.930846211966572e-08,0.1,1.930846211966572e-06,1e-08,1.930846211966572e-13,-1.9104325231601133e-08,0.001,1.9104325231601133e-08,0.001,1.9104325231601133e-08,1e-08,1.9104325231601135e-13,-1.9072961700325655e-08,0.001,1.9072961700325655e-08,0.001,1.9072961700325655e-08,1e-08,1.9072961700325657e-13,0.0,8.306103856304538e-12,-8.389919995218156e-14,0.0,7.586090483287434e-12,-7.6626410327097e-14,0.0,0.0,-7.581628485719735e-14,0.0,0.0,-7.569181741893494e-14
8.67312e-06,-2.1141072865501283e-08,0.001,2.1141072865501283e-08,0.1,2.114107286550128e-06,1e-08,2.1141072865501284e-13,-1.930846211966572e-08,0.001,1.930846211966572e-08,0.1,1.930846211966572e-06,1e-08,1.930846211966572e-13,-1.9104325231601133e-08,0.001,1.9104325231601133e-08,0.001,1.9104325231601133e-08,1e-08,1.9104325231601135e-13,-1.9072961700325655e-08,0.001,1.9072961700325655e-08,0.001,1.9072961700325655e-08,1e-08,1.9072961700325657e-13,0.0,1.815254712723241e-11,-1.8335722830061756e-13,0.0,1.6578996288952197e-11,-1.6746293433322536e-13,0.0,0.0,-1.656924483116519e-13,0.0,0.0,-1.6542043136147262e-13
1.74745e-05,-2.1141072865501283e-08,0.001,2.1141072865501283e-08,0.1,2.114107286550128e-06,1e-08,2.1141072865501284e-13,-1.930846211966572e-08,0.001,1.930846211966572e-08,0.1,1.930846211966572e-06,1e-08,1.930846211966572e-13,-1.9104325231601133e-08,0.001,1.9104325231601133e-08,0.001,1.9104325231601133e-08,1e-08,1.9104325231601135e-13,-1.9072961700325655e-08,0.001,1.9072961700325655e-08,0.001,1.9072961700325655e-08,1e-08,1.9072961700325657e-13,0.0,3.657353810103202e-11,-3.6942598349142427e-13,0.0,3.340316640969976e-11,-3.3740234725288553e-13,0.0,0.0,-3.338351928743014e-13,0.0,0.0,-3.3328713632764834e-13
3.39404e-05,-2.114111899000279e-08,0.001,2.114111899000279e-08,0.1,2.114111899000279e-06,1e-08,2.1141118990002793e-13,-1.930846211966572e-08,0.001,1.930846211966572e-08,0.1,1.930846211966572e-06,1e-08,1.930846211966572e-13,-1.9104325231601133e-08,0.001,1.9104325231601133e-08,0.001,1.9104325231601133e-08,1e-08,1.9104325231601135e-13,-1.9072961700325655e-08,0.001,1.9072961700325655e-08,0.001,1.9072961700325655e-08,1e-08,1.9072961700325657e-13,0.0,7.103618566760321e-11,-7.175300535933994e-13,0.0,6.487835584490393e-11,-6.55330374357025e-13,0.0,0.0,-6.484019560062342e-13,0.0,0.0,-6.473374758542399e-13
6.47452e-05,-2.114111899000279e-08,0.001,2.114111899000279e-08,0.1,2.114111899000279e-06,1e-08,2.1141118990002793e-13,-1.930846211966572e-08,0.001,1.930846211966572e-08,0.1,1.930846211966572e-06,1e-08,1.930846211966572e-13,-1.9104325231601133e-08,0.001,1.9104325231601133e-08,0.001,1.9104325231601133e-08,1e-08,1.9104325231601135e-13,-1.9072961700325655e-08,0.001,1.9072961700325655e-08,0.001,1.9072961700325655e-08,1e-08,1.9072961700325657e-13,0.0,1.3550973195166378e-10,-1.3687714833772148e-12,0.0,1.2376289392138793e-10,-1.2501177403277646e-12,0.0,0.0,-1.2369009888514821e-12,0.0,0.0,-1.2348703710527258e-12
0.000116292,-2.1156675874078585e-08,0.001,2.1156675874078585e-08,0.1,2.1156675874078584e-06,1e-08,2.1156675874078587e-13,-1.930846211966572e-08,0.001,1.930846211966572e-08,0.1,1.930846211966572e-06,1e-08,1.930846211966572e-13,-1.9097957123190592e-08,0.001,1.9097957123190592e-08,0.001,1.9097957123190592e-08,1e-08,1.9097957123190594e-13,-1.9072961700325655e-08,0.001,1.9072961700325655e-08,0.001,1.9072961700325655e-08,1e-08,1.9072961700325657e-13,0.0,2.4347506700631325e-10,-2.4593195177337694e-12,0.0,2.2229654800519645e-10,-2.2453972226233975e-12,0.0,0.0,-2.2213297207034006e-12,0.0,0.0,-2.2180106817256506e-12
0.000202545,-2.11412112394145e-08,0.001,2.11412112394145e-08,0.1,2.11412112394145e-06,1e-08,2.11412112394145e-13,-1.930846211966572e-08,0.001,1.930846211966572e-08,0.1,1.930846211966572e-06,1e-08,1.930846211966572e-13,-1.9097957123190592e-08,0.001,1.9097957123190592e-08,0.001,1.9097957123190592e-08,1e-08,1.9097957123190594e-13,-1.9072961700325655e-08,0.001,1.9072961700325655e-08,0.001,1.9072961700325655e-08,1e-08,1.9072961700325657e-13,0.0,4.240008634166019e-10,-4.282794175838058e-12,0.0,3.871724135427416e-10,-3.910793351703092e-12,0.0,0.0,-3.868569343889001e-12,0.0,0.0,-3.863094396262184e-12
0.000346875,-2.1141303489372836e-08,0.001,2.1141303489372836e-08,0.1,2.1141303489372837e-06,1e-08,2.114130348937284e-13,-1.930846211966572e-08,0.001,1.930846211966572e-08,0.1,1.930846211966572e-06,1e-08,1.930846211966572e-13,-1.9097957123190592e-08,0.001,1.9097957123190592e-08,0.001,1.9097957123190592e-08,1e-08,1.9097957123190594e-13,-1.9071921167772416e-08,0.001,1.9071921167772416e-08,0.001,1.9071921167772416e-08,1e-08,1.9071921167772418e-13,0.0,7.260819723460989e-10,-7.334087995215914e-12,0.0,6.630646569781456e-10,-6.697555821531068e-12,0.0,0.0,-6.624949931397584e-12,0.0,0.0,-6.615717251902956e-12
