time,q_50cm_m.d,psi01_conc_50cm_mol.L,psi01_flux_50cm_mol.m2.d,psi02_conc_50cm_mol.L,psi02_flux_50cm_mol.m2.d,psi03_conc_50cm_mol.L,psi03_flux_50cm_mol.m2.d,q_100cm_m.d,psi01_conc_100cm_mol.L,psi01_flux_100cm_mol.m2.d,psi02_conc_100cm_mol.L,psi02_flux_100cm_mol.m2.d,psi03_conc_100cm_mol.L,psi03_flux_100cm_mol.m2.d,q_200cm_m.d,psi01_conc_200cm_mol.L,psi01_flux_200cm_mol.m2.d,psi02_conc_200cm_mol.L,psi02_flux_200cm_mol.m2.d,psi03_conc_200cm_mol.L,psi03_flux_200cm_mol.m2.d,q_300cm_m.d,psi01_conc_300cm_mol.L,psi01_flux_300cm_mol.m2.d,psi02_conc_300cm_mol.L,psi02_flux_300cm_mol.m2.d,psi03_conc_300cm_mol.L,psi03_flux_300cm_mol.m2.d,psi01_cumulative_50cm_mol.m2,psi02_cumulative_50cm_mol.m2,psi03_cumulative_50cm_mol.m2,psi01_cumulative_100cm_mol.m2,psi02_cumulative_100cm_mol.m2,psi03_cumulative_100cm_mol.m2,psi01_cumulative_200cm_mol.m2,psi02_cumulative_200cm_mol.m2,psi03_cumulative_200cm_mol.m2,psi01_cumulative_300cm_mol.m2,psi02_cumulative_300cm_mol.m2,psi03_cumulative_300cm_mol.m2
1e-07,-2.5226949822487592e-08,0.001,2.5226949822487592e-08,0.1,2.5226949822487594e-06,1e-08,2.522694982248759e-13,-2.4347881497305976e-08,0.001,2.4347881497305976e-08,0.1,2.4347881497305977e-06,1e-08,2.4347881497305976e-13,-2.4100738124805303e-08,0.001,2.4100738124805303e-08,0.001,2.4100738124805303e-08,1e-08,2.4100738124805307e-13,-2.418600926170428e-08,0.001,2.418600926170428e-08,0.001,2.418600926170428e-08,1e-08,2.418600926170428e-13,0.0,2.4974680324262716e-13,-2.5226697552989365e-15,0.0,2.4104402682332917e-13,-2.4347638018491e-15,0.0,0.0,-2.4100497117424054e-15,0.0,0.0,-2.4185767401611664e-15
3.16025e-07,-2.5226949822487592e-08,0.001,2.5226949822487592e-08,0.1,2.5226949822487594e-06,1e-08,2.522694982248759e-13,-2.4347881497305976e-08,0.001,2.4347881497305976e-08,0.1,2.4347881497305977e-06,1e-08,2.4347881497305976e-13,-2.4100738124805303e-08,0.001,2.4100738124805303e-08,0.001,2.4100738124805303e-08,1e-08,2.4100738124805307e-13,-2.418600926170428e-08,0.001,2.418600926170428e-08,0.001,2.418600926170428e-08,1e-08,2.418600926170428e-13,0.0,7.892623349475126e-13,-7.972267094183465e-15,0.0,7.617593857684261e-13,-7.69446230479362e-15,0.0,0.0,-7.616359601533938e-15,0.0,0.0,-7.643307143094326e-15
7.82691e-07,-2.5226949822487592e-08,0.001,2.5226949822487592e-08,0.1,2.5226949822487594e-06,1e-08,2.522694982248759e-13,-2.4347881497305976e-08,0.001,2.4347881497305976e-08,0.1,2.4347881497305977e-06,1e-08,2.4347881497305976e-13,-2.4100738124805303e-08,0.001,2.4100738124805303e-08,0.001,2.4100738124805303e-08,1e-08,2.4100738124805307e-13,-2.418600926170428e-08,0.001,2.418600926170428e-08,0.001,2.418600926170428e-08,1e-08,2.418600926170428e-13,0.0,1.954745751767751e-12,-1.9744709134446802e-14,0.0,1.8866299039837834e-12,-1.9056677148330742e-14,0.0,0.0,-1.8863242189333753e-14,0.0,0.0,-1.8929982473334836e-14
1.79081e-06,-2.5226949822487592e-08,0.001,2.5226949822487592e-08,0.1,2.5226949822487594e-06,1e-08,2.522694982248759e-13,-2.4347881497305976e-08,0.001,2.4347881497305976e-08,0.1,2.4347881497305977e-06,1e-08,2.4347881497305976e-13,-2.4100738124805303e-08,0.001,2.4100738124805303e-08,0.001,2.4100738124805303e-08,1e-08,2.4100738124805307e-13,-2.418600926170428e-08,0.001,2.418600926170428e-08,0.001,2.418600926170428e-08,1e-08,2.418600926170428e-13,0.0,4.472490727149292e-12,-4.517622224486889e-14,0.0,4.316640536754861e-12,-4.3601993639893875e-14,0.0,0.0,-4.3159411242854176e-14,0.0,0.0,-4.331211412048018e-14
3.96858e-06,-2.5226949822487592e-08,0.001,2.5226949822487592e-08,0.1,2.5226949822487594e-06,1e-08,2.522694982248759e-13,-2.4347881497305976e-08,0.001,2.4347881497305976e-08,0.1,2.4347881497305977e-06,1e-08,2.4347881497305976e-13,-2.4100738124805303e-08,0.001,2.4100738124805303e-08,0.001,2.4100738124805303e-08,1e-08,2.4100738124805307e-13,-2.418600926170428e-08,0.001,2.418600926170428e-08,0.001,2.418600926170428e-08,1e-08,2.418600926170428e-13,0.0,9.911401684126255e-12,-1.0011416737484255e-13,0.0,9.566025039705277e-12,-9.662554928742302e-14,0.0,0.0,-9.564475085026677e-14,0.0,0.0,-9.598315279468802e-14
8.67312e-06,-2.5226949822487592e-08,0.001,2.5226949822487592e-08,0.1,2.5226949822487594e-06,1e-08,2.522694982248759e-13,-2.4347881497305976e-08,0.001,2.4347881497305976e-08,0.1,2.4347881497305977e-06,1e-08,2.4347881497305976e-13,-2.4100738124805303e-08,0.001,2.4100738124805303e-08,0.001,2.4100738124805303e-08,1e-08,2.4100738124805307e-13,-2.418600926170428e-08,0.001,2.418600926170428e-08,0.001,2.418600926170428e-08,1e-08,2.418600926170428e-13,0.0,2.1660839941396948e-11,-2.1879417508078315e-13,0.0,2.0906037699219528e-11,-2.1116998625093467e-13,0.0,0.0,-2.0902650355907294e-13,0.0,0.0,-2.0976606296626614e-13
1.74745e-05,-2.5226949822487592e-08,0.001,2.5226949822487592e-08,0.1,2.5226949822487594e-06,1e-08,2.522694982248759e-13,-2.4347881497305976e-08,0.001,2.4347881497305976e-08,0.1,2.4347881497305977e-06,1e-08,2.4347881497305976e-13,-2.4133306689838856e-08,0.001,2.4133306689838856e-08,0.001,2.4133306689838856e-08,1e-08,2.4133306689838856e-13,-2.4181958003871666e-08,0.001,2.4181958003871666e-08,0.001,2.4181958003871666e-08,1e-08,2.4181958003871666e-13,0.0,4.3642005132632884e-11,-4.4082392638971273e-13,0.0,4.212123846724266e-11,-4.2546280055412103e-13,0.0,0.0,-4.214307823288585e-13,0.0,0.0,-4.2259853615636677e-13
3.39404e-05,-2.52327094000728e-08,0.001,2.52327094000728e-08,0.1,2.52327094000728e-06,1e-08,2.52327094000728e-13,-2.4347881497305976e-08,0.001,2.4347881497305976e-08,0.1,2.4347881497305977e-06,1e-08,2.4347881497305976e-13,-2.4133306689838856e-08,0.001,2.4133306689838856e-08,0.001,2.4133306689838856e-08,1e-08,2.4133306689838856e-13,-2.418600926170428e-08,0.001,2.418600926170428e-08,0.001,2.418600926170428e-08,1e-08,2.418600926170428e-13,0.0,8.47744528339881e-11,-8.562990413076743e-13,0.0,8.181130687994521e-11,-8.26368573402792e-13,0.0,0.0,-8.188034231869298e-13,0.0,0.0,-8.208389636145643e-13
6.47452e-05,-2.52327094000728e-08,0.001,2.52327094000728e-08,0.1,2.52327094000728e-06,1e-08,2.52327094000728e-13,-2.4347881497305976e-08,0.001,2.4347881497305976e-08,0.1,2.4347881497305977e-06,1e-08,2.4347881497305976e-13,-2.414959097235563e-08,0.001,2.414959097235563e-08,0.001,2.414959097235563e-08,1e-08,2.414959097235563e-13,-2.418600926170428e-08,0.001,2.418600926170428e-08,0.001,2.418600926170428e-08,1e-08,2.418600926170428e-13,0.0,1.61726020920197e-10,-1.633579834949372e-12,0.0,1.5606443725481813e-10,-1.5763926930348039e-12,0.0,0.0,-1.562719303938951e-12,0.0,0.0,-1.5658766912677312e-12
0.000116292,-2.523846897765801e-08,0.001,2.523846897765801e-08,0.1,2.523846897765801e-06,1e-08,2.523846897765801e-13,-2.4347881497305976e-08,0.001,2.4347881497305976e-08,0.1,2.4347881497305977e-06,1e-08,2.4347881497305976e-13,-2.4182159537389183e-08,0.001,2.4182159537389183e-08,0.001,2.4182159537389183e-08,1e-08,2.4182159537389184e-13,-2.418600926170428e-08,0.001,2.418600926170428e-08,0.001,2.418600926170428e-08,1e-08,2.418600926170428e-13,0.0,2.9052128987725364e-10,-2.9345291380237866e-12,0.0,2.8031491967338596e-10,-2.831435520446356e-12,0.0,0.0,-2.809219780051431e-12,0.0,0.0,-2.8125756063651274e-12
0.000202545,-2.523846897765801e-08,0.001,2.523846897765801e-08,0.1,2.523846897765801e-06,1e-08,2.523846897765801e-13,-2.4347881497305976e-08,0.001,2.4347881497305976e-08,0.1,2.4347881497305977e-06,1e-08,2.4347881497305976e-13,-2.4182159537389183e-08,0.001,2.4182159537389183e-08,0.001,2.4182159537389183e-08,1e-08,2.4182159537389184e-13,-2.418600926170428e-08,0.001,2.418600926170428e-08,0.001,2.418600926170428e-08,1e-08,2.418600926170428e-13,0.0,5.060337626855173e-10,-5.111401033817076e-12,0.0,4.882226241293121e-10,-4.9314923424552595e-12,0.0,0.0,-4.8949827287917945e-12,0.0,0.0,-4.8986706020563376e-12
